| infectadas: 15.0 | suseptibles a infectarse: 5.0 | Recuperados: 0.0

Persona	time	x	y
Persona 1	0.0	59.0	93.0
Persona 2	0.0	22.0	64.0
Persona 3	0.0	41.0	29.0
Persona 4	0.0	52.0	63.0
Persona 5	0.0	62.0	77.0
Persona 6	0.0	51.0	63.0
Persona 7	0.0	57.0	22.0
Persona 8	0.0	92.0	70.0
Persona 9	0.0	29.0	13.0
Persona 10	0.0	54.0	56.0
Persona 11	0.0	65.0	53.0
Persona 12	0.0	98.0	61.0
Persona 13	0.0	40.0	41.0
Persona 14	0.0	13.0	5.0
Persona 15	0.0	23.0	95.0
Persona 16	0.0	7.0	42.0
Persona 17	0.0	79.0	83.0
Persona 18	0.0	99.0	84.0
Persona 19	0.0	42.0	28.0
Persona 20	0.0	31.0	100.0
Persona 1	0.2	60.0	92.0
Persona 2	0.2	23.0	63.0
Persona 3	0.2	41.0	30.0
Persona 4	0.2	51.0	63.0
Persona 5	0.2	63.0	78.0
Persona 6	0.2	50.0	63.0
Persona 7	0.2	58.0	23.0
Persona 8	0.2	92.0	69.0
Persona 9	0.2	28.0	12.0
Persona 10	0.2	55.0	57.0
Persona 11	0.2	65.0	52.0
Persona 12	0.2	97.0	60.0
Persona 13	0.2	39.0	41.0
Persona 14	0.2	12.0	5.0
Persona 15	0.2	22.0	94.0
Persona 16	0.2	8.0	43.0
Persona 17	0.2	80.0	82.0
Persona 18	0.2	100.0	85.0
Persona 19	0.2	41.0	28.0
Persona 20	0.2	32.0	100.0
Persona 1	0.4	61.0	92.0
Persona 2	0.4	24.0	63.0
Persona 3	0.4	40.0	31.0
Persona 4	0.4	50.0	63.0
Persona 5	0.4	64.0	79.0
Persona 6	0.4	49.0	63.0
Persona 7	0.4	59.0	24.0
Persona 8	0.4	93.0	68.0
Persona 9	0.4	27.0	11.0
Persona 10	0.4	56.0	58.0
Persona 11	0.4	66.0	51.0
Persona 12	0.4	96.0	59.0
Persona 13	0.4	38.0	41.0
Persona 14	0.4	11.0	5.0
Persona 15	0.4	21.0	93.0
Persona 16	0.4	9.0	44.0
Persona 17	0.4	81.0	82.0
Persona 18	0.4	100.0	86.0
Persona 19	0.4	40.0	28.0
Persona 20	0.4	33.0	100.0
Persona 1	0.6000000000000001	62.0	92.0
Persona 2	0.6000000000000001	25.0	63.0
Persona 3	0.6000000000000001	39.0	32.0
Persona 4	0.6000000000000001	49.0	62.0
Persona 5	0.6000000000000001	64.0	80.0
Persona 6	0.6000000000000001	48.0	62.0
