| infectadas: 15.0 | suseptibles a infectarse: 5.0 | Recuperados: 0.0

Persona	time	x	y
Persona 1	0.0	41.0	1.0
Persona 2	0.0	16.0	7.0
Persona 3	0.0	99.0	80.0
Persona 4	0.0	49.0	71.0
Persona 5	0.0	13.0	31.0
Persona 6	0.0	18.0	97.0
Persona 7	0.0	22.0	37.0
Persona 8	0.0	47.0	35.0
Persona 9	0.0	75.0	46.0
Persona 10	0.0	9.0	83.0
Persona 11	0.0	44.0	76.0
Persona 12	0.0	79.0	90.0
Persona 13	0.0	70.0	92.0
Persona 14	0.0	60.0	40.0
Persona 15	0.0	84.0	61.0
Persona 16	0.0	84.0	43.0
Persona 17	0.0	58.0	90.0
Persona 18	0.0	99.0	12.0
Persona 19	0.0	33.0	66.0
Persona 20	0.0	3.0	41.0
Persona 1	0.2	41.0	0.0
Persona 2	0.2	16.0	8.0
Persona 3	0.2	100.0	81.0
Persona 4	0.2	50.0	70.0
Persona 5	0.2	13.0	32.0
Persona 6	0.2	19.0	96.0
Persona 7	0.2	23.0	38.0
Persona 8	0.2	48.0	36.0
Persona 9	0.2	75.0	45.0
Persona 10	0.2	8.0	83.0
Persona 11	0.2	45.0	77.0
Persona 12	0.2	79.0	91.0
Persona 13	0.2	70.0	91.0
Persona 14	0.2	61.0	41.0
Persona 15	0.2	84.0	60.0
Persona 16	0.2	84.0	42.0
Persona 17	0.2	58.0	89.0
Persona 18	0.2	99.0	13.0
Persona 19	0.2	34.0	65.0
Persona 20	0.2	3.0	42.0
Persona 1	0.4	42.0	0.0
Persona 2	0.4	15.0	9.0
Persona 3	0.4	100.0	82.0
Persona 4	0.4	51.0	70.0
Persona 5	0.4	12.0	33.0
Persona 6	0.4	20.0	96.0
Persona 7	0.4	24.0	39.0
Persona 8	0.4	49.0	37.0
Persona 9	0.4	76.0	44.0
Persona 10	0.4	7.0	83.0
Persona 11	0.4	46.0	78.0
Persona 12	0.4	78.0	92.0
Persona 13	0.4	71.0	90.0
Persona 14	0.4	62.0	42.0
Persona 15	0.4	85.0	59.0
Persona 16	0.4	85.0	41.0
Persona 17	0.4	59.0	88.0
Persona 18	0.4	98.0	14.0
Persona 19	0.4	35.0	65.0
Persona 20	0.4	2.0	43.0
Persona 1	0.6000000000000001	43.0	0.0
Persona 2	0.6000000000000001	14.0	10.0
Persona 3	0.6000000000000001	100.0	83.0
Persona 4	0.6000000000000001	52.0	70.0
Persona 5	0.6000000000000001	11.0	34.0
Persona 6	0.6000000000000001	21.0	96.0
Persona 7	0.6000000000000001	24.0	40.0
Persona 8	0.6000000000000001	49.0	38.0
Persona 9	0.6000000000000001	77.0	43.0
Persona 10	0.6000000000000001	6.0	82.0
Persona 11	0.6000000000000001	46.0	79.0
Persona 12	0.6000000000000001	77.0	93.0
Persona 13	0.6000000000000001	72.0	89.0
Persona 14	0.6000000000000001	62.0	43.0
Persona 15	0.6000000000000001	86.0	58.0
Persona 16	0.6000000000000001	86.0	40.0
Persona 17	0.6000000000000001	60.0	87.0
Persona 18	0.6000000000000001	97.0	15.0
Persona 19	0.6000000000000001	36.0	65.0
Persona 20	0.6000000000000001	1.0	44.0
Persona 1	0.8	44.0	0.0
Persona 2	0.8	13.0	10.0
Persona 3	0.8	99.0	84.0
Persona 4	0.8	53.0	71.0
Persona 5	0.8	10.0	34.0
Persona 6	0.8	22.0	97.0
Persona 7	0.8	23.0	41.0
Persona 8	0.8	49.0	39.0
Persona 9	0.8	78.0	43.0
Persona 10	0.8	5.0	81.0
Persona 11	0.8	46.0	80.0
Persona 12	0.8	76.0	93.0
Persona 13	0.8	73.0	89.0
Persona 14	0.8	61.0	44.0
Persona 15	0.8	87.0	58.0
Persona 16	0.8	87.0	40.0
Persona 17	0.8	61.0	87.0
Persona 18	0.8	96.0	15.0
Persona 19	0.8	37.0	66.0
Persona 20	0.8	0.0	44.0
Persona 1	1.0	45.0	0.0
Persona 2	1.0	12.0	10.0
Persona 3	1.0	98.0	85.0
Persona 4	1.0	54.0	72.0
Persona 5	1.0	9.0	34.0
Persona 6	1.0	23.0	98.0
Persona 7	1.0	22.0	42.0
Persona 8	1.0	48.0	40.0
Persona 9	1.0	79.0	43.0
Persona 10	1.0	5.0	80.0
Persona 11	1.0	45.0	81.0
Persona 12	1.0	75.0	93.0
Persona 13	1.0	74.0	89.0
Persona 14	1.0	60.0	45.0
Persona 15	1.0	88.0	58.0
Persona 16	1.0	88.0	40.0
Persona 17	1.0	62.0	87.0
Persona 18	1.0	95.0	15.0
Persona 19	1.0	38.0	67.0
Persona 20	1.0	0.0	44.0
Persona 1	1.2	46.0	1.0
Persona 2	1.2	11.0	9.0
Persona 3	1.2	97.0	85.0
Persona 4	1.2	54.0	73.0
Persona 5	1.2	8.0	33.0
Persona 6	1.2	23.0	99.0
Persona 7	1.2	21.0	42.0
Persona 8	1.2	47.0	41.0
Persona 9	1.2	80.0	44.0
Persona 10	1.2	5.0	79.0
Persona 11	1.2	44.0	82.0
Persona 12	1.2	74.0	92.0
Persona 13	1.2	75.0	90.0
Persona 14	1.2	59.0	45.0
Persona 15	1.2	89.0	59.0
Persona 16	1.2	89.0	41.0
Persona 17	1.2	63.0	88.0
Persona 18	1.2	94.0	14.0
Persona 19	1.2	38.0	68.0
Persona 20	1.2	0.0	43.0
Persona 1	1.4	47.0	2.0
Persona 2	1.4	10.0	8.0
Persona 3	1.4	96.0	85.0
Persona 4	1.4	54.0	74.0
Persona 5	1.4	7.0	32.0
Persona 6	1.4	23.0	100.0
Persona 7	1.4	20.0	42.0
Persona 8	1.4	46.0	41.0
Persona 9	1.4	81.0	45.0
Persona 10	1.4	6.0	78.0
Persona 11	1.4	43.0	82.0
Persona 12	1.4	73.0	91.0
Persona 13	1.4	76.0	91.0
Persona 14	1.4	58.0	45.0
Persona 15	1.4	90.0	60.0
Persona 16	1.4	90.0	42.0
Persona 17	1.4	64.0	89.0
Persona 18	1.4	93.0	13.0
Persona 19	1.4	38.0	69.0
Persona 20	1.4	0.0	42.0
Persona 1	1.5999999999999999	47.0	3.0
Persona 2	1.5999999999999999	10.0	7.0
Persona 3	1.5999999999999999	95.0	84.0
Persona 4	1.5999999999999999	53.0	75.0
Persona 5	1.5999999999999999	7.0	31.0
Persona 6	1.5999999999999999	22.0	100.0
Persona 7	1.5999999999999999	19.0	41.0
Persona 8	1.5999999999999999	45.0	41.0
Persona 9	1.5999999999999999	81.0	46.0
Persona 10	1.5999999999999999	7.0	77.0
Persona 11	1.5999999999999999	42.0	82.0
Persona 12	1.5999999999999999	73.0	90.0
Persona 13	1.5999999999999999	76.0	92.0
Persona 14	1.5999999999999999	57.0	44.0
Persona 15	1.5999999999999999	90.0	61.0
Persona 16	1.5999999999999999	90.0	43.0
Persona 17	1.5999999999999999	64.0	90.0
Persona 18	1.5999999999999999	93.0	12.0
Persona 19	1.5999999999999999	37.0	70.0
Persona 20	1.5999999999999999	0.0	41.0
Persona 1	1.7999999999999998	47.0	4.0
Persona 2	1.7999999999999998	10.0	6.0
Persona 3	1.7999999999999998	94.0	83.0
Persona 4	1.7999999999999998	52.0	76.0
Persona 5	1.7999999999999998	7.0	30.0
Persona 6	1.7999999999999998	21.0	100.0
Persona 7	1.7999999999999998	18.0	40.0
Persona 8	1.7999999999999998	44.0	40.0
Persona 9	1.7999999999999998	81.0	47.0
Persona 10	1.7999999999999998	8.0	77.0
Persona 11	1.7999999999999998	41.0	81.0
Persona 12	1.7999999999999998	73.0	89.0
Persona 13	1.7999999999999998	76.0	93.0
Persona 14	1.7999999999999998	56.0	43.0
Persona 15	1.7999999999999998	90.0	62.0
Persona 16	1.7999999999999998	90.0	44.0
Persona 17	1.7999999999999998	64.0	91.0
Persona 18	1.7999999999999998	93.0	11.0
Persona 19	1.7999999999999998	36.0	71.0
Persona 20	1.7999999999999998	0.0	40.0
Persona 1	1.9999999999999998	46.0	5.0
Persona 2	1.9999999999999998	11.0	5.0
Persona 3	1.9999999999999998	94.0	82.0
Persona 4	1.9999999999999998	51.0	76.0
Persona 5	1.9999999999999998	8.0	29.0
Persona 6	1.9999999999999998	20.0	100.0
Persona 7	1.9999999999999998	18.0	39.0
Persona 8	1.9999999999999998	43.0	39.0
Persona 9	1.9999999999999998	80.0	48.0
Persona 10	1.9999999999999998	9.0	77.0
Persona 11	1.9999999999999998	40.0	80.0
Persona 12	1.9999999999999998	74.0	88.0
Persona 13	1.9999999999999998	75.0	94.0
Persona 14	1.9999999999999998	56.0	42.0
Persona 15	1.9999999999999998	89.0	63.0
Persona 16	1.9999999999999998	89.0	45.0
Persona 17	1.9999999999999998	63.0	92.0
Persona 18	1.9999999999999998	94.0	10.0
Persona 19	1.9999999999999998	35.0	71.0
Persona 20	1.9999999999999998	1.0	39.0
Persona 1	2.1999999999999997	45.0	6.0
Persona 2	2.1999999999999997	12.0	4.0
Persona 3	2.1999999999999997	94.0	81.0
Persona 4	2.1999999999999997	50.0	75.0
Persona 5	2.1999999999999997	9.0	28.0
Persona 6	2.1999999999999997	19.0	99.0
Persona 7	2.1999999999999997	18.0	38.0
Persona 8	2.1999999999999997	43.0	38.0
Persona 9	2.1999999999999997	79.0	49.0
Persona 10	2.1999999999999997	10.0	78.0
Persona 11	2.1999999999999997	40.0	79.0
Persona 12	2.1999999999999997	75.0	87.0
Persona 13	2.1999999999999997	74.0	95.0
Persona 14	2.1999999999999997	56.0	41.0
Persona 15	2.1999999999999997	88.0	64.0
Persona 16	2.1999999999999997	88.0	46.0
Persona 17	2.1999999999999997	62.0	93.0
Persona 18	2.1999999999999997	95.0	9.0
Persona 19	2.1999999999999997	34.0	70.0
Persona 20	2.1999999999999997	2.0	38.0
Persona 1	2.4	44.0	6.0
Persona 2	2.4	13.0	4.0
Persona 3	2.4	95.0	80.0
Persona 4	2.4	49.0	74.0
Persona 5	2.4	10.0	28.0
Persona 6	2.4	18.0	98.0
Persona 7	2.4	19.0	37.0
Persona 8	2.4	43.0	37.0
Persona 9	2.4	78.0	49.0
Persona 10	2.4	11.0	79.0
Persona 11	2.4	40.0	78.0
Persona 12	2.4	76.0	87.0
Persona 13	2.4	73.0	95.0
Persona 14	2.4	57.0	40.0
Persona 15	2.4	87.0	64.0
Persona 16	2.4	87.0	46.0
Persona 17	2.4	61.0	93.0
Persona 18	2.4	96.0	9.0
Persona 19	2.4	33.0	69.0
Persona 20	2.4	3.0	38.0
Persona 1	2.6	43.0	6.0
Persona 2	2.6	14.0	4.0
Persona 3	2.6	96.0	79.0
