Persona	time	x	y
Persona 1	0.0	8.0	21.0
Persona 1	0.2	7.0	22.0
Persona 1	0.4	8.0	23.0
Persona 1	0.6	7.0	24.0
Persona 1	0.8	6.0	25.0
Persona 1	1.0	7.0	26.0
Persona 1	1.2	8.0	27.0
Persona 1	1.4	8.0	28.0
Persona 1	1.6	9.0	29.0
Persona 1	1.8	8.0	30.0
Persona 1	2.0	9.0	31.0
Persona 1	2.2	8.0	32.0
Persona 1	2.4	9.0	33.0
Persona 1	2.6	10.0	34.0
Persona 1	2.8	11.0	35.0
Persona 1	3.0	12.0	36.0
Persona 1	3.2	13.0	37.0
Persona 1	3.4	12.0	38.0
Persona 1	3.6	12.0	39.0
Persona 1	3.8	12.0	40.0
Persona 1	4.0	11.0	41.0
Persona 1	4.2	12.0	42.0
Persona 1	4.4	12.0	43.0
Persona 1	4.6	12.0	44.0
Persona 1	4.8	11.0	45.0
Persona 1	5.0	11.0	46.0
Persona 1	5.2	12.0	47.0
Persona 1	5.4	11.0	48.0
Persona 1	5.6	12.0	49.0
Persona 1	5.8	12.0	50.0
Persona 1	6.0	13.0	51.0
Persona 1	6.2	12.0	52.0
Persona 1	6.4	13.0	53.0
Persona 1	6.6	14.0	54.0
Persona 1	6.8	15.0	55.0
Persona 1	7.0	16.0	56.0
Persona 1	7.2	17.0	57.0
Persona 1	7.4	18.0	58.0
Persona 1	7.6	18.0	59.0
Persona 1	7.8	18.0	60.0
Persona 1	8.0	19.0	61.0
Persona 1	8.2	20.0	62.0
Persona 1	8.4	21.0	63.0
Persona 1	8.6	22.0	64.0
Persona 1	8.8	22.0	65.0
Persona 1	9.0	22.0	66.0
Persona 1	9.2	22.0	67.0
Persona 1	9.4	23.0	68.0
Persona 1	9.6	23.0	69.0
Persona 1	9.8	22.0	70.0
Persona 1	10.0	22.0	71.0
